complaint_text,transport_type,location,duplicate_score,previous_complaints,severity_indicator,priority
A commuter was injured after falling near the local train at Thane.,Local Train,Thane,0.581,20,safety,Critical
Security guard at Churchgate used excessive force.,Metro,Churchgate,0.793,1,staff_behavior,Medium
Morning rush hour saw the metro stuck for over an hour at Ghatkopar.,Metro,Ghatkopar,0.495,5,delay,Medium
The local train service at Virar has become unreliable with constant delays.,Local Train,Virar,0.688,9,delay,Medium
Overcrowding on the metro near Thane makes commuting difficult.,Metro,Thane,0.13,10,comfort,Low
Excessive heat and lack of ventilation on the metro at Ghatkopar.,Metro,Ghatkopar,0.34,14,comfort,Critical
Seats on the metro at Dadar are often broken or missing.,Metro,Dadar,0.826,20,comfort,Medium
Electrical short caused sparks and smoke near the metro at Churchgate.,Metro,Churchgate,0.372,2,safety,High
The carriage of the metro in Kurla has foul odor and dirty floors.,Metro,Kurla,0.375,7,cleanliness,Low
Overcrowding on the local train near Churchgate makes commuting difficult.,Local Train,Churchgate,0.127,14,comfort,Low
The carriage of the local train in Ghatkopar has foul odor and dirty floors.,Local Train,Ghatkopar,0.05,4,cleanliness,Low
The carriage of the metro in Virar has foul odor and dirty floors.,Metro,Virar,0.093,7,cleanliness,Low
Unexpected long delay of the metro caused commuters to miss connections at Andheri.,Metro,Andheri,0.073,20,delay,High
Graffiti and spilled liquids on the local train platform at Borivali.,Local Train,Borivali,0.503,3,cleanliness,Low
The local train at Ghatkopar is frequently delayed beyond schedule.,Local Train,Ghatkopar,0.789,12,delay,Medium
Smoke was seen coming from the local train at Churchgate.,Local Train,Churchgate,0.294,4,safety,High
Overcrowding on the metro near Ghatkopar makes commuting difficult.,Metro,Ghatkopar,0.453,5,comfort,Low
Trash bins overflowed on the bus at Borivali.,Bus,Borivali,0.858,19,cleanliness,Medium
Smoke was seen coming from the local train at Andheri.,Local Train,Andheri,0.254,6,safety,Critical
A commuter was injured after falling near the bus at Andheri.,Bus,Andheri,0.281,8,safety,High
The metro platform at Andheri is littered and unclean.,Metro,Andheri,0.779,7,cleanliness,Low
Dangerous crowding caused a stampede near the local train at Thane.,Local Train,Thane,0.223,7,safety,High
AC not working on the local train near Borivali makes the ride uncomfortable.,Local Train,Borivali,0.68,6,comfort,Low
A passenger fell due to a broken step at Churchgate station.,Metro,Churchgate,0.025,1,safety,High
Dangerous crowding caused a stampede near the metro at Virar.,Metro,Virar,0.877,5,safety,High
A commuter was injured after falling near the metro at Andheri.,Metro,Andheri,0.392,7,safety,High
Dangerous crowding caused a stampede near the bus at Virar.,Bus,Virar,0.846,5,safety,Critical
Trash bins overflowed on the metro at Dadar.,Metro,Dadar,0.544,14,cleanliness,Low
The carriage of the bus in Virar has foul odor and dirty floors.,Bus,Virar,0.738,1,cleanliness,Critical
A commuter was injured after falling near the local train at Dadar.,Local Train,Dadar,0.896,9,safety,Low
The carriage of the bus in Dadar has foul odor and dirty floors.,Bus,Dadar,0.125,14,cleanliness,Critical
Ticket checker at Kurla behaved inappropriately.,Metro,Kurla,0.825,10,staff_behavior,High
Staff at Thane was rude and unhelpful to commuters.,Bus,Thane,0.578,18,staff_behavior,Medium
Electrical short caused sparks and smoke near the metro at Andheri.,Metro,Andheri,0.373,4,safety,High
Ticket checker at Ghatkopar behaved inappropriately.,Bus,Ghatkopar,0.326,8,staff_behavior,Medium
Fire alarm triggered due to sparks near the bus platform at Virar.,Bus,Virar,0.008,5,safety,High
The metro at Ghatkopar is frequently delayed beyond schedule.,Metro,Ghatkopar,0.635,16,delay,High
Dangerous crowding caused a stampede near the local train at Virar.,Local Train,Virar,0.165,3,safety,High
Excessive heat and lack of ventilation on the bus at Andheri.,Bus,Andheri,0.265,12,comfort,Low
The metro platform at Dadar is littered and unclean.,Metro,Dadar,0.005,17,cleanliness,Medium
Fire alarm triggered due to sparks near the metro platform at Andheri.,Metro,Andheri,0.557,1,safety,High
Smoke was seen coming from the bus at Ghatkopar.,Bus,Ghatkopar,0.889,2,safety,High
AC not working on the bus near Ghatkopar makes the ride uncomfortable.,Bus,Ghatkopar,0.607,0,comfort,Low
Fire alarm triggered due to sparks near the bus platform at Kurla.,Bus,Kurla,0.953,5,safety,Critical
A commuter was injured after falling near the metro at Thane.,Metro,Thane,0.415,16,safety,Critical
Ticket checker at Ghatkopar behaved inappropriately.,Bus,Ghatkopar,0.66,1,staff_behavior,Medium
The local train platform at Borivali is littered and unclean.,Local Train,Borivali,0.744,0,cleanliness,Low
AC not working on the local train near Thane makes the ride uncomfortable.,Local Train,Thane,0.6,3,comfort,Low
Morning rush hour saw the metro stuck for over an hour at Borivali.,Metro,Borivali,0.216,2,delay,Medium
The bus platform at Ghatkopar is littered and unclean.,Bus,Ghatkopar,0.804,8,cleanliness,High
The carriage of the bus in Virar has foul odor and dirty floors.,Bus,Virar,0.473,17,cleanliness,Medium
The metro at Virar is frequently delayed beyond schedule.,Metro,Virar,0.663,3,delay,Medium
Trash bins overflowed on the metro at Virar.,Metro,Virar,0.881,14,cleanliness,Low
Fire alarm triggered due to sparks near the local train platform at Andheri.,Local Train,Andheri,0.783,6,safety,Low
Seats on the bus at Virar are often broken or missing.,Bus,Virar,0.1,16,comfort,Critical
The metro platform at Ghatkopar is littered and unclean.,Metro,Ghatkopar,0.161,20,cleanliness,Medium
Graffiti and spilled liquids on the metro platform at Ghatkopar.,Metro,Ghatkopar,0.353,6,cleanliness,Low
Exposed live wire spotted near the bus platform at Churchgate.,Bus,Churchgate,0.28,7,safety,High
Unexpected long delay of the bus caused commuters to miss connections at Kurla.,Bus,Kurla,0.623,3,delay,Medium
A commuter was injured after falling near the bus at Virar.,Bus,Virar,0.339,8,safety,High
The carriage of the bus in Borivali has foul odor and dirty floors.,Bus,Borivali,0.169,10,cleanliness,Low
Staff at Churchgate was rude and unhelpful to commuters.,Bus,Churchgate,0.131,7,staff_behavior,Medium
The metro platform at Virar is littered and unclean.,Metro,Virar,0.784,14,cleanliness,Low
Dangerous crowding caused a stampede near the local train at Churchgate.,Local Train,Churchgate,0.209,14,safety,High
The local train platform at Dadar is littered and unclean.,Local Train,Dadar,0.828,20,cleanliness,Critical
The bus platform at Ghatkopar is littered and unclean.,Bus,Ghatkopar,0.437,15,cleanliness,High
Smoke was seen coming from the bus at Andheri.,Bus,Andheri,0.216,13,safety,High
Morning rush hour saw the local train stuck for over an hour at Andheri.,Local Train,Andheri,0.881,12,delay,High
Staff at Borivali was rude and unhelpful to commuters.,Metro,Borivali,0.482,17,staff_behavior,High
Fire alarm triggered due to sparks near the local train platform at Kurla.,Local Train,Kurla,0.717,0,safety,High
Unexpected long delay of the bus caused commuters to miss connections at Churchgate.,Bus,Churchgate,0.942,4,delay,High
AC not working on the local train near Borivali makes the ride uncomfortable.,Local Train,Borivali,0.851,7,comfort,Low
Unexpected long delay of the local train caused commuters to miss connections at Borivali.,Local Train,Borivali,0.351,4,delay,Medium
Unexpected long delay of the metro caused commuters to miss connections at Virar.,Metro,Virar,0.454,10,delay,Medium
Customer service at the bus station in Churchgate ignored complaints.,Bus,Churchgate,0.996,1,staff_behavior,High
Seats on the metro at Kurla are often broken or missing.,Metro,Kurla,0.957,12,comfort,Low
Dangerous crowding caused a stampede near the local train at Borivali.,Local Train,Borivali,0.108,1,safety,High
Staff at Churchgate was rude and unhelpful to commuters.,Local Train,Churchgate,0.777,8,staff_behavior,Medium
Morning rush hour saw the bus stuck for over an hour at Andheri.,Bus,Andheri,0.186,19,delay,High
Smoke was seen coming from the metro at Kurla.,Metro,Kurla,0.164,17,safety,Critical
AC not working on the metro near Andheri makes the ride uncomfortable.,Metro,Andheri,0.637,16,comfort,Low
Overcrowding on the local train near Ghatkopar makes commuting difficult.,Local Train,Ghatkopar,0.609,8,comfort,High
Excessive heat and lack of ventilation on the bus at Dadar.,Bus,Dadar,0.848,4,comfort,Medium
Morning rush hour saw the metro stuck for over an hour at Churchgate.,Metro,Churchgate,0.863,7,delay,High
Security guard at Thane used excessive force.,Local Train,Thane,0.942,16,staff_behavior,High
Overcrowding on the local train near Dadar makes commuting difficult.,Local Train,Dadar,0.153,12,comfort,Low
Trash bins overflowed on the local train at Dadar.,Local Train,Dadar,0.812,19,cleanliness,Medium
A passenger fell due to a broken step at Dadar station.,Metro,Dadar,0.64,7,safety,High
Electrical short caused sparks and smoke near the metro at Borivali.,Metro,Borivali,0.035,0,safety,High
The local train service at Kurla has become unreliable with constant delays.,Local Train,Kurla,0.935,5,delay,High
Staff at Kurla was rude and unhelpful to commuters.,Bus,Kurla,0.022,19,staff_behavior,Medium
Excessive heat and lack of ventilation on the bus at Ghatkopar.,Bus,Ghatkopar,0.419,8,comfort,Low
Fire alarm triggered due to sparks near the metro platform at Virar.,Metro,Virar,0.841,18,safety,Critical
Staff at Dadar was rude and unhelpful to commuters.,Bus,Dadar,0.61,2,staff_behavior,Medium
Ticket checker at Ghatkopar behaved inappropriately.,Local Train,Ghatkopar,0.815,12,staff_behavior,Low
A commuter was injured after falling near the bus at Virar.,Bus,Virar,0.434,1,safety,High
Graffiti and spilled liquids on the metro platform at Andheri.,Metro,Andheri,0.287,11,cleanliness,Low
The carriage of the bus in Churchgate has foul odor and dirty floors.,Bus,Churchgate,0.147,8,cleanliness,Low
Smoke was seen coming from the bus at Dadar.,Bus,Dadar,0.68,20,safety,Critical
AC not working on the local train near Churchgate makes the ride uncomfortable.,Local Train,Churchgate,0.672,0,comfort,Low
Exposed live wire spotted near the metro platform at Thane.,Metro,Thane,0.586,7,safety,High
The carriage of the bus in Andheri has foul odor and dirty floors.,Bus,Andheri,0.328,20,cleanliness,Medium
Staff at Kurla was rude and unhelpful to commuters.,Metro,Kurla,0.032,10,staff_behavior,Medium
Staff at Andheri was rude and unhelpful to commuters.,Bus,Andheri,0.688,16,staff_behavior,Medium
Excessive heat and lack of ventilation on the bus at Kurla.,Bus,Kurla,0.906,1,comfort,Medium
Dangerous crowding caused a stampede near the bus at Andheri.,Bus,Andheri,0.331,14,safety,High
Graffiti and spilled liquids on the bus platform at Churchgate.,Bus,Churchgate,0.411,19,cleanliness,Medium
A passenger fell due to a broken step at Borivali station.,Metro,Borivali,0.117,0,safety,Medium
The local train platform at Dadar is littered and unclean.,Local Train,Dadar,0.804,14,cleanliness,Low
Exposed live wire spotted near the bus platform at Andheri.,Bus,Andheri,0.685,18,safety,Critical
The bus platform at Churchgate is littered and unclean.,Bus,Churchgate,0.309,15,cleanliness,Low
Excessive heat and lack of ventilation on the bus at Thane.,Bus,Thane,0.61,12,comfort,Critical
The local train service at Kurla has become unreliable with constant delays.,Local Train,Kurla,0.432,5,delay,Medium
Fire alarm triggered due to sparks near the local train platform at Andheri.,Local Train,Andheri,0.481,15,safety,High
Morning rush hour saw the metro stuck for over an hour at Dadar.,Metro,Dadar,0.781,6,delay,High
Trash bins overflowed on the local train at Dadar.,Local Train,Dadar,0.109,19,cleanliness,High
Security guard at Ghatkopar used excessive force.,Local Train,Ghatkopar,0.614,3,staff_behavior,Medium
Staff at Thane was rude and unhelpful to commuters.,Metro,Thane,0.47,5,staff_behavior,Medium
Smoke was seen coming from the metro at Dadar.,Metro,Dadar,0.707,3,safety,High
Staff at Kurla was rude and unhelpful to commuters.,Local Train,Kurla,0.943,3,staff_behavior,High
Excessive heat and lack of ventilation on the bus at Ghatkopar.,Bus,Ghatkopar,0.965,0,comfort,Medium
The bus service at Virar has become unreliable with constant delays.,Bus,Virar,0.639,19,delay,High
A passenger fell due to a broken step at Thane station.,Local Train,Thane,0.856,1,safety,High
Staff at Andheri was rude and unhelpful to commuters.,Local Train,Andheri,0.94,1,staff_behavior,Medium
Unexpected long delay of the metro caused commuters to miss connections at Virar.,Metro,Virar,0.453,11,delay,Critical
The local train service at Virar has become unreliable with constant delays.,Local Train,Virar,0.98,13,delay,High
The metro service at Borivali has become unreliable with constant delays.,Metro,Borivali,0.975,20,delay,High
Customer service at the metro station in Dadar ignored complaints.,Metro,Dadar,0.758,15,staff_behavior,Medium
Overcrowding on the local train near Thane makes commuting difficult.,Local Train,Thane,0.721,13,comfort,Low
The local train at Churchgate is frequently delayed beyond schedule.,Local Train,Churchgate,0.536,6,delay,Medium
AC not working on the bus near Borivali makes the ride uncomfortable.,Bus,Borivali,0.031,10,comfort,Low
Electrical short caused sparks and smoke near the metro at Virar.,Metro,Virar,0.875,19,safety,Critical
Dangerous crowding caused a stampede near the bus at Borivali.,Bus,Borivali,0.022,1,safety,High
Dangerous crowding caused a stampede near the bus at Virar.,Bus,Virar,0.994,1,safety,Critical
Morning rush hour saw the metro stuck for over an hour at Borivali.,Metro,Borivali,0.057,13,delay,Medium
Trash bins overflowed on the bus at Kurla.,Bus,Kurla,0.379,16,cleanliness,High
Exposed live wire spotted near the bus platform at Dadar.,Bus,Dadar,0.179,18,safety,Medium
The metro service at Borivali has become unreliable with constant delays.,Metro,Borivali,0.635,19,delay,High
Dangerous crowding caused a stampede near the bus at Thane.,Bus,Thane,0.306,2,safety,High
The bus platform at Churchgate is littered and unclean.,Bus,Churchgate,0.085,0,cleanliness,Low
The bus platform at Ghatkopar is littered and unclean.,Bus,Ghatkopar,0.469,5,cleanliness,Low
The metro platform at Andheri is littered and unclean.,Metro,Andheri,0.512,3,cleanliness,Low
The bus platform at Dadar is littered and unclean.,Bus,Dadar,0.632,12,cleanliness,Low
Overcrowding on the local train near Ghatkopar makes commuting difficult.,Local Train,Ghatkopar,0.1,19,comfort,Low
AC not working on the metro near Churchgate makes the ride uncomfortable.,Metro,Churchgate,0.248,20,comfort,Low
Security guard at Borivali used excessive force.,Local Train,Borivali,0.486,9,staff_behavior,Medium
Customer service at the local train station in Borivali ignored complaints.,Local Train,Borivali,0.986,6,staff_behavior,Critical
Customer service at the local train station in Virar ignored complaints.,Local Train,Virar,0.306,12,staff_behavior,Medium
Morning rush hour saw the local train stuck for over an hour at Virar.,Local Train,Virar,0.851,3,delay,High
Morning rush hour saw the local train stuck for over an hour at Churchgate.,Local Train,Churchgate,0.013,19,delay,High
The local train at Thane is frequently delayed beyond schedule.,Local Train,Thane,0.541,15,delay,Medium
Security guard at Andheri used excessive force.,Local Train,Andheri,0.414,13,staff_behavior,Medium
Security guard at Dadar used excessive force.,Local Train,Dadar,0.714,3,staff_behavior,Medium
AC not working on the local train near Andheri makes the ride uncomfortable.,Local Train,Andheri,0.192,5,comfort,Low
Exposed live wire spotted near the bus platform at Kurla.,Bus,Kurla,0.8,2,safety,High
Unexpected long delay of the bus caused commuters to miss connections at Kurla.,Bus,Kurla,0.151,19,delay,High
Customer service at the local train station in Borivali ignored complaints.,Local Train,Borivali,0.697,2,staff_behavior,Medium
Electrical short caused sparks and smoke near the bus at Ghatkopar.,Bus,Ghatkopar,0.678,16,safety,Critical
A commuter was injured after falling near the metro at Dadar.,Metro,Dadar,0.767,5,safety,Medium
Security guard at Kurla used excessive force.,Local Train,Kurla,0.017,19,staff_behavior,Medium
Staff at Thane was rude and unhelpful to commuters.,Metro,Thane,0.767,10,staff_behavior,Medium
Excessive heat and lack of ventilation on the local train at Thane.,Local Train,Thane,0.921,13,comfort,Medium
The local train at Virar is frequently delayed beyond schedule.,Local Train,Virar,0.988,3,delay,High
The metro service at Churchgate has become unreliable with constant delays.,Metro,Churchgate,0.588,9,delay,Medium
Overcrowding on the local train near Churchgate makes commuting difficult.,Local Train,Churchgate,0.452,4,comfort,Low
Unexpected long delay of the local train caused commuters to miss connections at Andheri.,Local Train,Andheri,0.724,13,delay,Medium
Unexpected long delay of the bus caused commuters to miss connections at Virar.,Bus,Virar,0.574,17,delay,High
Dangerous crowding caused a stampede near the bus at Dadar.,Bus,Dadar,0.665,8,safety,Medium
Smoke was seen coming from the local train at Thane.,Local Train,Thane,0.173,4,safety,Critical
Staff at Andheri was rude and unhelpful to commuters.,Local Train,Andheri,0.293,14,staff_behavior,Medium
The metro at Kurla is frequently delayed beyond schedule.,Metro,Kurla,0.212,15,delay,Medium
The metro platform at Dadar is littered and unclean.,Metro,Dadar,0.384,10,cleanliness,Low
Unexpected long delay of the bus caused commuters to miss connections at Thane.,Bus,Thane,0.482,10,delay,Medium
The bus platform at Andheri is littered and unclean.,Bus,Andheri,0.35,1,cleanliness,Low
Fire alarm triggered due to sparks near the metro platform at Borivali.,Metro,Borivali,0.91,17,safety,Critical
Seats on the bus at Virar are often broken or missing.,Bus,Virar,0.167,9,comfort,Critical
Security guard at Churchgate used excessive force.,Bus,Churchgate,0.471,12,staff_behavior,Medium
A commuter was injured after falling near the bus at Thane.,Bus,Thane,0.642,11,safety,High
A passenger fell due to a broken step at Kurla station.,Local Train,Kurla,0.389,18,safety,Medium
Morning rush hour saw the bus stuck for over an hour at Kurla.,Bus,Kurla,0.538,3,delay,Medium
Overcrowding on the bus near Churchgate makes commuting difficult.,Bus,Churchgate,0.623,20,comfort,Low
The metro at Kurla is frequently delayed beyond schedule.,Metro,Kurla,0.836,11,delay,High
The local train at Churchgate is frequently delayed beyond schedule.,Local Train,Churchgate,0.577,20,delay,High
Ticket checker at Dadar behaved inappropriately.,Metro,Dadar,0.907,14,staff_behavior,Critical
Excessive heat and lack of ventilation on the metro at Churchgate.,Metro,Churchgate,0.21,15,comfort,Low
Staff at Dadar was rude and unhelpful to commuters.,Metro,Dadar,0.377,8,staff_behavior,Medium
Exposed live wire spotted near the metro platform at Virar.,Metro,Virar,0.183,15,safety,High
Trash bins overflowed on the local train at Dadar.,Local Train,Dadar,0.499,13,cleanliness,Low
Excessive heat and lack of ventilation on the metro at Andheri.,Metro,Andheri,0.943,18,comfort,Medium
Customer service at the metro station in Kurla ignored complaints.,Metro,Kurla,0.516,15,staff_behavior,High
The carriage of the local train in Kurla has foul odor and dirty floors.,Local Train,Kurla,0.743,17,cleanliness,Medium
Trash bins overflowed on the local train at Thane.,Local Train,Thane,0.101,16,cleanliness,Medium
AC not working on the local train near Virar makes the ride uncomfortable.,Local Train,Virar,0.521,5,comfort,Low
Excessive heat and lack of ventilation on the metro at Thane.,Metro,Thane,0.633,15,comfort,Low
Customer service at the local train station in Thane ignored complaints.,Local Train,Thane,0.435,19,staff_behavior,Medium
Seats on the metro at Borivali are often broken or missing.,Metro,Borivali,0.253,6,comfort,Low
Dangerous crowding caused a stampede near the bus at Thane.,Bus,Thane,0.804,16,safety,Medium
Graffiti and spilled liquids on the local train platform at Borivali.,Local Train,Borivali,0.907,2,cleanliness,Low
Ticket checker at Churchgate behaved inappropriately.,Bus,Churchgate,0.754,18,staff_behavior,Medium
Trash bins overflowed on the local train at Dadar.,Local Train,Dadar,0.593,11,cleanliness,Low
Overcrowding on the bus near Borivali makes commuting difficult.,Bus,Borivali,0.233,11,comfort,Critical
Staff at Andheri was rude and unhelpful to commuters.,Bus,Andheri,0.797,11,staff_behavior,Medium
Security guard at Ghatkopar used excessive force.,Metro,Ghatkopar,0.594,2,staff_behavior,Medium
Fire alarm triggered due to sparks near the local train platform at Churchgate.,Local Train,Churchgate,0.798,6,safety,High
Excessive heat and lack of ventilation on the metro at Kurla.,Metro,Kurla,0.297,12,comfort,Low
Security guard at Dadar used excessive force.,Metro,Dadar,0.219,0,staff_behavior,Medium
Exposed live wire spotted near the local train platform at Kurla.,Local Train,Kurla,0.307,8,safety,High
The carriage of the local train in Virar has foul odor and dirty floors.,Local Train,Virar,0.432,3,cleanliness,Low
Staff at Andheri was rude and unhelpful to commuters.,Metro,Andheri,0.882,0,staff_behavior,Low
The carriage of the local train in Andheri has foul odor and dirty floors.,Local Train,Andheri,0.414,10,cleanliness,Low
AC not working on the metro near Borivali makes the ride uncomfortable.,Metro,Borivali,0.991,20,comfort,Medium
Customer service at the bus station in Virar ignored complaints.,Bus,Virar,0.955,0,staff_behavior,High
Unexpected long delay of the metro caused commuters to miss connections at Thane.,Metro,Thane,0.476,16,delay,High
Trash bins overflowed on the bus at Borivali.,Bus,Borivali,0.832,19,cleanliness,Medium
The bus service at Borivali has become unreliable with constant delays.,Bus,Borivali,0.867,17,delay,Medium
Security guard at Thane used excessive force.,Bus,Thane,0.44,16,staff_behavior,Medium
AC not working on the local train near Ghatkopar makes the ride uncomfortable.,Local Train,Ghatkopar,0.289,15,comfort,Low
Seats on the local train at Churchgate are often broken or missing.,Local Train,Churchgate,0.725,11,comfort,Low
Unexpected long delay of the metro caused commuters to miss connections at Andheri.,Metro,Andheri,0.263,20,delay,High
The carriage of the bus in Dadar has foul odor and dirty floors.,Bus,Dadar,0.34,5,cleanliness,Low
Overcrowding on the metro near Thane makes commuting difficult.,Metro,Thane,0.729,20,comfort,Low
Overcrowding on the metro near Dadar makes commuting difficult.,Metro,Dadar,0.362,13,comfort,Low
Overcrowding on the local train near Dadar makes commuting difficult.,Local Train,Dadar,0.42,1,comfort,Low
Unexpected long delay of the bus caused commuters to miss connections at Borivali.,Bus,Borivali,0.176,5,delay,Medium
Fire alarm triggered due to sparks near the bus platform at Dadar.,Bus,Dadar,0.969,14,safety,Critical
Excessive heat and lack of ventilation on the bus at Kurla.,Bus,Kurla,0.087,14,comfort,Low
Staff at Thane was rude and unhelpful to commuters.,Bus,Thane,0.829,16,staff_behavior,High
AC not working on the bus near Borivali makes the ride uncomfortable.,Bus,Borivali,0.412,12,comfort,Critical
Trash bins overflowed on the metro at Churchgate.,Metro,Churchgate,0.451,16,cleanliness,Medium
AC not working on the metro near Kurla makes the ride uncomfortable.,Metro,Kurla,0.954,18,comfort,Medium
Overcrowding on the bus near Virar makes commuting difficult.,Bus,Virar,0.087,3,comfort,Low
The local train at Kurla is frequently delayed beyond schedule.,Local Train,Kurla,0.698,13,delay,Medium
Staff at Ghatkopar was rude and unhelpful to commuters.,Bus,Ghatkopar,0.173,6,staff_behavior,Medium
Seats on the metro at Thane are often broken or missing.,Metro,Thane,0.939,3,comfort,Medium
Unexpected long delay of the metro caused commuters to miss connections at Virar.,Metro,Virar,0.732,19,delay,High
Ticket checker at Dadar behaved inappropriately.,Bus,Dadar,0.462,18,staff_behavior,Medium
Overcrowding on the metro near Dadar makes commuting difficult.,Metro,Dadar,0.327,10,comfort,Low
Security guard at Thane used excessive force.,Metro,Thane,0.444,12,staff_behavior,Medium
Security guard at Virar used excessive force.,Bus,Virar,0.782,13,staff_behavior,Low
Morning rush hour saw the bus stuck for over an hour at Virar.,Bus,Virar,0.917,16,delay,High
The bus service at Borivali has become unreliable with constant delays.,Bus,Borivali,0.102,17,delay,High
Customer service at the local train station in Andheri ignored complaints.,Local Train,Andheri,0.393,9,staff_behavior,Medium
Overcrowding on the local train near Kurla makes commuting difficult.,Local Train,Kurla,0.241,17,comfort,Medium
Security guard at Kurla used excessive force.,Metro,Kurla,0.006,18,staff_behavior,Medium
Staff at Andheri was rude and unhelpful to commuters.,Local Train,Andheri,0.194,19,staff_behavior,Medium
AC not working on the bus near Kurla makes the ride uncomfortable.,Bus,Kurla,0.735,5,comfort,Low
Security guard at Churchgate used excessive force.,Metro,Churchgate,0.874,17,staff_behavior,High
Staff at Virar was rude and unhelpful to commuters.,Bus,Virar,0.277,0,staff_behavior,Medium
Graffiti and spilled liquids on the bus platform at Dadar.,Bus,Dadar,0.444,3,cleanliness,Low
Excessive heat and lack of ventilation on the bus at Thane.,Bus,Thane,1.0,3,comfort,High
A passenger fell due to a broken step at Ghatkopar station.,Local Train,Ghatkopar,0.52,13,safety,High
The local train platform at Kurla is littered and unclean.,Local Train,Kurla,0.137,18,cleanliness,Medium
Graffiti and spilled liquids on the local train platform at Thane.,Local Train,Thane,0.061,2,cleanliness,Low
Security guard at Andheri used excessive force.,Bus,Andheri,0.686,3,staff_behavior,Medium
AC not working on the bus near Ghatkopar makes the ride uncomfortable.,Bus,Ghatkopar,0.825,10,comfort,Medium
Security guard at Kurla used excessive force.,Bus,Kurla,0.792,19,staff_behavior,Medium
The bus platform at Virar is littered and unclean.,Bus,Virar,0.202,1,cleanliness,Low
Excessive heat and lack of ventilation on the local train at Andheri.,Local Train,Andheri,0.48,9,comfort,Low
Graffiti and spilled liquids on the local train platform at Ghatkopar.,Local Train,Ghatkopar,0.446,12,cleanliness,Low
Excessive heat and lack of ventilation on the bus at Churchgate.,Bus,Churchgate,0.061,6,comfort,Low
Ticket checker at Dadar behaved inappropriately.,Bus,Dadar,0.165,7,staff_behavior,Medium
The bus at Thane is frequently delayed beyond schedule.,Bus,Thane,0.045,14,delay,Medium
Customer service at the metro station in Andheri ignored complaints.,Metro,Andheri,0.809,8,staff_behavior,High
Excessive heat and lack of ventilation on the metro at Virar.,Metro,Virar,0.541,14,comfort,Low
Dangerous crowding caused a stampede near the metro at Churchgate.,Metro,Churchgate,0.252,20,safety,Critical
The local train service at Virar has become unreliable with constant delays.,Local Train,Virar,0.633,3,delay,Medium
Graffiti and spilled liquids on the local train platform at Dadar.,Local Train,Dadar,0.404,19,cleanliness,Medium
Customer service at the metro station in Andheri ignored complaints.,Metro,Andheri,0.544,20,staff_behavior,Medium
Staff at Dadar was rude and unhelpful to commuters.,Local Train,Dadar,0.649,10,staff_behavior,Critical
Graffiti and spilled liquids on the metro platform at Ghatkopar.,Metro,Ghatkopar,0.786,14,cleanliness,Low
Overcrowding on the local train near Churchgate makes commuting difficult.,Local Train,Churchgate,0.91,19,comfort,Medium
A passenger fell due to a broken step at Thane station.,Metro,Thane,0.691,19,safety,Critical
Overcrowding on the metro near Kurla makes commuting difficult.,Metro,Kurla,0.047,2,comfort,Low
Customer service at the bus station in Thane ignored complaints.,Bus,Thane,0.441,20,staff_behavior,Medium
The carriage of the bus in Kurla has foul odor and dirty floors.,Bus,Kurla,0.609,15,cleanliness,Low
Customer service at the metro station in Kurla ignored complaints.,Metro,Kurla,0.581,16,staff_behavior,Medium
